"149","0","253"
"207","1","460"
"198","2","70"
"192","3","473"
"220","4","49"
"137","5","362"
"59","6","217"
"166","7","160"
"203","8","433"
"298","9","138"
"131","10","242"
"179","11","399"
"270","12","78"
"279","13","352"
"17","14","299"
"222","15","144"
"237","16","215"
"193","17","108"
"246","18","246"
"121","19","293"
"102","20","43"
"263","21","453"
"34","22","27"
"116","23","441"
"101","24","12"
"88","25","55"
"278","26","215"
"122","27","414"
"138","28","54"
"61","29","230"
"95","30","330"
"126","31","394"
"221","32","58"
"88","33","136"
"237","34","415"
"151","35","277"
"148","36","243"
"198","37","456"
"49","38","449"
"14","39","304"
"282","40","258"
"203","41","344"
"59","42","107"
"156","43","452"
"15","44","450"
"69","45","113"
"285","46","24"
"236","47","222"
"129","48","106"
"24","49","305"
"111","50","106"
"165","51","441"
"85","52","223"
"44","53","33"
"41","54","192"
"185","55","63"
"178","56","222"
"243","57","412"
"280","58","104"
"37","59","31"
"157","60","471"
"102","61","114"
"193","62","257"
"217","63","59"
"184","64","118"
"104","65","232"
"49","66","223"
"31","67","296"
"246","68","186"
"12","69","487"
"148","70","65"
"243","71","399"
"31","72","330"
"170","73","126"
"102","74","34"
"60","75","114"
"174","76","361"
"35","77","334"
"206","78","430"
"163","79","387"
"15","80","483"
"180","81","259"
"103","82","200"
"173","83","119"
"130","84","405"
"143","85","254"
"164","86","89"
"216","87","496"
"128","88","489"
"160","89","279"
"78","90","472"
"29","91","371"
"47","92","480"
"154","93","84"
"108","94","194"
"284","95","252"
"212","96","456"
"9","97","176"
"40","98","14"
"26","99","98"
"286","100","360"
"181","101","472"
"170","102","216"
"206","103","142"
"181","104","294"
"73","105","80"
"234","106","151"
"285","107","2"
"299","108","467"
"87","109","215"
"170","110","445"
"289","111","449"
"66","112","453"
"293","113","384"
"277","114","456"
"71","115","400"
"184","116","475"
"60","117","418"
"245","118","450"
"22","119","426"
"27","120","350"
"262","121","384"
"14","122","74"
"278","123","342"
"74","124","33"
"148","125","140"
"46","126","481"
"28","127","158"
"201","128","478"
"195","129","446"
"41","130","380"
"232","131","466"
"159","132","453"
"270","133","151"
"133","134","407"
"298","135","115"
"196","136","252"
"276","137","492"
"216","138","50"
"114","139","175"
"45","140","233"
"13","141","195"
"280","142","229"
"66","143","486"
"276","144","156"
"235","145","101"
"237","146","459"
"272","147","184"
"21","148","407"
"291","149","281"
"111","150","416"
"9","151","438"
"66","152","454"
"196","153","280"
"134","154","461"
"182","155","306"
